permit,streetname,from_st,to_st
./out/14TOC-3676.csv,20TH AVE,LINCOLN WAY,IRVING ST
./out/14TOC-3676.csv,20TH AVE,IRVING ST,JUDAH ST
./out/14TOC-3676.csv,20TH AVE,JUDAH ST,KIRKHAM ST
./out/14TOC-3676.csv,20TH AVE,KIRKHAM ST,LAWTON ST
./out/14TOC-3676.csv,20TH AVE,LAWTON ST,MORAGA ST
./out/14TOC-3676.csv,20TH AVE,MORAGA ST,NORIEGA ST
./out/14TOC-3676.csv,21ST AVE,LINCOLN WAY,IRVING ST
./out/14TOC-3676.csv,21ST AVE,IRVING ST,JUDAH ST
./out/14TOC-3676.csv,21ST AVE,JUDAH ST,KIRKHAM ST
./out/14TOC-3676.csv,21ST AVE,KIRKHAM ST,LAWTON ST
./out/14TOC-3676.csv,21ST AVE,LAWTON ST,MORAGA ST
./out/14TOC-3676.csv,21ST AVE,MORAGA ST,NORIEGA ST
./out/14TOC-3676.csv,IRVING ST,20TH AVE,Intersection
./out/14TOC-3676.csv,IRVING ST,21ST AVE,Intersection
./out/14TOC-3676.csv,JUDAH ST,20TH AVE,Intersection
./out/14TOC-3676.csv,JUDAH ST,21ST AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,20TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,21ST AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,22ND AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,23RD AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,24TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,25TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,26TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,27TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,28TH AVE,Intersection
./out/14TOC-3676.csv,KIRKHAM ST,20TH AVE,21ST AVE
./out/14TOC-3676.csv,KIRKHAM ST,21ST AVE,22ND AVE
./out/14TOC-3676.csv,KIRKHAM ST,22ND AVE,23RD AVE
./out/14TOC-3676.csv,KIRKHAM ST,23RD AVE,24TH AVE
./out/14TOC-3676.csv,KIRKHAM ST,24TH AVE,25TH AVE
./out/14TOC-3676.csv,KIRKHAM ST,25TH AVE,26TH AVE
./out/14TOC-3676.csv,KIRKHAM ST,26TH AVE,27TH AVE
./out/14TOC-3676.csv,KIRKHAM ST,27TH AVE,28TH AVE
./out/14TOC-3676.csv,KIRKHAM ST,28TH AVE,29TH AVE
./out/14TOC-3676.csv,LAWTON ST,19TH AVE,Intersection
./out/14TOC-3676.csv,LAWTON ST,20TH AVE,Intersection
./out/14TOC-3676.csv,LAWTON ST,21ST AVE,Intersection
./out/14TOC-3676.csv,LAWTON ST,18TH AVE,19TH AVE
./out/14TOC-3676.csv,LAWTON ST,19TH AVE,20TH AVE
./out/14TOC-3676.csv,MORAGA ST,20TH AVE,Intersection
./out/14TOC-3676.csv,MORAGA ST,21ST AVE,Intersection
./out/14TOC-3676.csv,QUINTARA ST,20TH AVE,21ST AVE
./out/14TOC-3676.csv,QUINTARA ST,21ST AVE,22ND AVE
./out/14TOC-3676.csv,QUINTARA ST,22ND AVE,23RD AVE
./out/14TOC-3676.csv,QUINTARA ST,23RD AVE,24TH AVE
./out/14TOC-3676.csv,QUINTARA ST,24TH AVE,25TH AVE
./out/14TOC-3676.csv,QUINTARA ST,25TH AVE,26TH AVE
./out/14TOC-3676.csv,QUINTARA ST,26TH AVE,27TH AVE
./out/14TOC-3676.csv,QUINTARA ST,27TH AVE,28TH AVE
./out/14TOC-3676.csv,QUINTARA ST,28TH AVE,29TH AVE
./out/14TOC-3676.csv,QUINTARA ST,20TH AVE,Intersection
./out/14TOC-3676.csv,QUINTARA ST,22ND AVE,Intersection
./out/14TOC-3676.csv,QUINTARA ST,21ST AVE,Intersection
